Datos del Osciloscopio Infinuum calculados con el VI de LabVIEW,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicion,1,,2,,3,,4,,5,,,,,,,,,,,,,,,,,,
Armonico,V,I,V,I,V,I,V,I,V,I,,Promedio,,,,,,,,,,Frecuencia fundamental (Hz),60.001,60.001,60.001,60.001,60.001
42,0.111,0.026,0.109,0.026,0.11,0.025,0.109,0.026,0.109,0.026,,0.1096,0.0258,,,,,,,,,,,,,,
43,0.005,0.021,0.006,0.021,0.003,0.02,0.005,0.021,0.004,0.021,,0.0046,0.0208,,,,,,,,,,,,,,
44,0.092,0.018,0.092,0.019,0.091,0.018,0.092,0.019,0.093,0.019,,0.092,0.0186,,,,,,,,,,,,,,
45,0.008,0.016,0.009,0.016,0.006,0.016,0.008,0.015,0.009,0.016,,0.008,0.0158,,,,,,,,,,,,,,
46,0.069,0.016,0.071,0.015,0.07,0.015,0.07,0.015,0.07,0.016,,0.07,0.0154,,,,,,,,,,,,,,
47,0.004,0.012,0.005,0.013,0.004,0.012,0.005,0.013,0.004,0.013,,0.0044,0.0126,,,,,,,,,,,,,,
48,0.076,0.008,0.075,0.009,0.075,0.008,0.076,0.009,0.076,0.009,,0.0756,0.0086,,,,,,,,,,,,,,
49,0.015,0.004,0.016,0.005,0.015,0.005,0.015,0.005,0.015,0.005,,0.0152,0.0048,,,,,,,,,,,,,,
50,0.073,0.006,0.072,0.005,0.072,0.005,0.073,0.005,0.073,0.005,,0.0726,0.0052,,,,,,,,,,,,,,
51,0.001,0.005,0.001,0.005,0.003,0.003,0.001,0.005,0.002,0.006,,0.0016,0.0048,,,,,,,,,,,,,,
