60.021,0.709,3.806,0.896,137.778,-68.454,153.846,0,333.774,0,57.655,2.668,13.777,"60.021	0.709	3.806	0.896	137.778	-68.454	153.846	0.000	333.774	0.000	57.655	2.668	13.777"
60.021,0.709,3.806,0.896,137.778,-68.454,153.846,0,333.774,0,57.655,2.668,13.777,"60.021	0.709	3.806	0.896	137.778	-68.454	153.846	0.000	333.774	0.000	57.655	2.668	13.777"
60.021,0.707,3.807,0.896,137.756,-68.405,153.805,0,333.688,0,57.655,2.668,13.775,"60.021	0.707	3.807	0.896	137.756	-68.405	153.805	0.000	333.688	0.000	57.655	2.668	13.775"
60.021,0.707,3.807,0.896,137.778,-68.411,153.827,0,333.602,0,57.655,2.668,13.777,"60.021	0.707	3.807	0.896	137.778	-68.411	153.827	0.000	333.602	0.000	57.655	2.668	13.777"
60.021,0.705,3.812,0.896,137.841,-68.366,153.864,0,333.776,0,57.652,2.669,13.784,"60.021	0.705	3.812	0.896	137.841	-68.366	153.864	0.000	333.776	0.000	57.652	2.669	13.784"
60.021,0.705,3.807,0.895,137.627,-68.46,153.714,0,333.704,0,57.652,2.666,13.762,"60.021	0.705	3.807	0.895	137.627	-68.460	153.714	0.000	333.704	0.000	57.652	2.666	13.762"
60.021,0.71,3.818,0.895,137.424,-68.496,153.548,0,333.608,0,57.652,2.663,13.742,"60.021	0.710	3.818	0.895	137.424	-68.496	153.548	0.000	333.608	0.000	57.652	2.663	13.742"
60.021,0.708,3.809,0.896,137.644,-68.394,153.7,0,333.76,0,57.65,2.666,13.764,"60.021	0.708	3.809	0.896	137.644	-68.394	153.700	0.000	333.760	0.000	57.650	2.666	13.764"
60.022,0.707,3.814,0.895,137.518,-68.421,153.599,0,333.635,0,57.651,2.664,13.751,"60.022	0.707	3.814	0.895	137.518	-68.421	153.599	0.000	333.635	0.000	57.651	2.664	13.751"
60.022,0.709,3.84,0.895,137.468,-68.492,153.586,0,333.738,0,57.651,2.664,13.746,"60.022	0.709	3.840	0.895	137.468	-68.492	153.586	0.000	333.738	0.000	57.651	2.664	13.746"
60.022,0.713,3.814,0.895,137.479,-68.396,153.553,0,333.585,0,57.65,2.664,13.747,"60.022	0.713	3.814	0.895	137.479	-68.396	153.553	0.000	333.585	0.000	57.650	2.664	13.747"
60.022,0.709,3.811,0.895,137.561,-68.371,153.615,0,333.689,0,57.651,2.665,13.756,"60.022	0.709	3.811	0.895	137.561	-68.371	153.615	0.000	333.689	0.000	57.651	2.665	13.756"
60.022,0.715,3.822,0.895,137.476,-68.57,153.627,0,333.645,0,57.652,2.665,13.747,"60.022	0.715	3.822	0.895	137.476	-68.570	153.627	0.000	333.645	0.000	57.652	2.665	13.747"
