"60.020	0.701	3.575	0.880	145.946	-78.788	165.855	0.000	331.788	0.000	57.246	2.897	14.594"
"60.020	0.708	3.580	0.881	146.309	-78.689	166.127	0.000	331.716	0.000	57.248	2.902	14.630"
"60.020	0.703	3.583	0.881	146.435	-78.633	166.212	0.000	331.805	0.000	57.250	2.903	14.643"
"60.020	0.705	3.579	0.880	146.169	-78.732	166.024	0.000	331.772	0.000	57.251	2.900	14.616"
"60.019	0.702	3.573	0.880	145.709	-78.744	165.625	0.000	331.754	0.000	57.246	2.893	14.570"
"60.020	0.705	3.565	0.880	145.647	-78.805	165.600	0.000	331.650	0.000	57.241	2.893	14.564"
"60.020	0.702	3.585	0.879	145.480	-78.787	165.444	0.000	331.658	0.000	57.242	2.890	14.547"
"60.020	0.707	3.576	0.879	145.323	-78.697	165.263	0.000	331.642	0.000	57.238	2.887	14.532"
"60.019	0.702	3.600	0.879	145.029	-78.644	164.980	0.000	331.689	0.000	57.235	2.883	14.502"
"60.020	0.708	3.606	0.879	144.916	-78.503	164.813	0.000	331.635	0.000	57.231	2.880	14.491"
"60.019	0.705	3.603	0.880	144.887	-78.323	164.703	0.000	331.777	0.000	57.228	2.878	14.488"
"60.019	0.705	3.587	0.880	144.925	-78.261	164.706	0.000	331.781	0.000	57.228	2.878	14.492"
"60.018	0.704	3.610	0.880	145.093	-78.251	164.849	0.000	331.815	0.000	57.227	2.881	14.509"
"60.019	0.705	3.586	0.880	145.020	-78.330	164.823	0.000	331.629	0.000	57.225	2.880	14.501"
"60.019	0.705	3.586	0.880	145.020	-78.330	164.823	0.000	331.629	0.000	57.225	2.880	14.501"
"60.019	0.705	3.591	0.881	145.582	-78.116	165.215	0.000	331.743	0.000	57.230	2.887	14.558"
"60.018	0.702	3.597	0.882	145.977	-77.970	165.495	0.000	332.077	0.000	57.230	2.892	14.597"
"60.018	0.705	3.583	0.883	146.261	-77.862	165.695	0.000	332.097	0.000	57.226	2.895	14.626"
"60.018	0.704	3.598	0.883	146.427	-77.941	165.878	0.000	332.125	0.000	57.226	2.899	14.642"
"60.018	0.706	3.583	0.882	146.384	-78.285	166.002	0.000	332.119	0.000	57.226	2.901	14.638"
"60.019	0.698	3.575	0.881	146.035	-78.350	165.725	0.000	331.980	0.000	57.224	2.896	14.603"
"60.020	0.699	3.583	0.881	145.875	-78.326	165.573	0.000	331.854	0.000	57.227	2.893	14.587"
"60.020	0.698	3.587	0.882	145.915	-78.106	165.505	0.000	331.950	0.000	57.230	2.892	14.591"
"60.019	0.704	3.579	0.881	145.849	-78.152	165.468	0.000	331.908	0.000	57.231	2.891	14.584"
"60.020	0.697	3.576	0.881	145.635	-78.305	165.352	0.000	331.810	0.000	57.233	2.889	14.563"
"60.020	0.702	3.582	0.881	145.703	-78.297	165.408	0.000	331.829	0.000	57.239	2.890	14.570"
"60.021	0.696	3.582	0.881	145.732	-78.385	165.475	0.000	331.849	0.000	57.239	2.891	14.573"
"60.021	0.695	3.568	0.881	145.993	-78.300	165.665	0.000	331.863	0.000	57.242	2.894	14.599"
"60.021	0.699	3.561	0.881	146.149	-78.309	165.807	0.000	331.946	0.000	57.242	2.897	14.614"
"60.021	0.694	3.564	0.882	146.135	-78.240	165.762	0.000	331.880	0.000	57.242	2.896	14.613"
"60.021	0.691	3.555	0.881	145.972	-78.253	165.624	0.000	331.920	0.000	57.245	2.893	14.597"
"60.020	0.695	3.556	0.881	145.732	-78.283	165.427	0.000	331.837	0.000	57.247	2.890	14.573"
"60.021	0.692	3.558	0.880	145.341	-78.362	165.120	0.000	331.901	0.000	57.243	2.885	14.534"
"60.021	0.691	3.591	0.877	143.616	-78.823	163.825	0.000	331.887	0.000	57.243	2.862	14.361"
"60.021	0.689	3.649	0.865	138.305	-80.297	159.924	0.000	330.599	0.000	57.236	2.794	13.830"
"60.022	0.699	3.768	0.845	129.598	-81.948	153.333	0.000	329.644	0.000	57.232	2.679	12.959"
"60.022	0.701	3.902	0.811	116.642	-84.166	143.838	0.000	325.591	0.000	57.224	2.514	11.664"
"60.022	0.699	4.025	0.785	106.532	-84.186	135.781	0.000	322.621	0.000	57.220	2.373	10.653"
"60.022	0.700	4.235	0.754	97.111	-84.674	128.842	0.000	320.695	0.000	57.218	2.252	9.711"
"60.021	0.702	4.662	0.695	84.411	-87.357	121.476	0.000	316.855	0.000	57.212	2.123	8.441"
"60.021	0.697	5.281	0.622	71.747	-90.247	115.291	0.000	311.099	0.000	57.202	2.015	7.174"
"60.021	0.693	5.820	0.563	62.963	-92.306	111.735	0.000	305.934	0.000	57.194	1.954	6.296"
"60.021	0.695	6.192	0.524	57.607	-93.681	109.976	0.000	302.632	0.000	57.191	1.923	5.761"
"60.022	0.692	6.299	0.502	54.772	-94.388	109.129	0.000	300.681	0.000	57.195	1.908	5.477"
